MPI BenchMarking, For Shared mode, (ptile=N):
p= 2, maxh= 556, maxn= 712 r= 465.463 Mflop/s, g= 3.1, l= 488.1
p= 2, maxh= 556, maxn= 812 r= 455.105 Mflop/s, g= 4.0, l= 357.1
p= 2, maxh= 556, maxn= 912 r= 252.113 Mflop/s, g= 0.4, l= 253.2
p= 2, maxh= 556, maxn= 1012 r= 385.661 Mflop/s, g= 2.1, l= 773.5
p= 2, maxh= 556, maxn= 1112 r= 254.747 Mflop/s, g= 1.3, l= 625.6
p= 2, maxh= 556, maxn= 1212 r= 502.190 Mflop/s, g= 1.1, l= 441.8
p= 2, maxh= 556, maxn= 1312 r= 253.178 Mflop/s, g= 0.6, l= 231.2
p= 2, maxh= 556, maxn= 1412 r= 250.829 Mflop/s, g= 1.3, l= 591.6
p= 2, maxh= 656, maxn= 512 r= 493.959 Mflop/s, g= 4.5, l= -127.3
p= 2, maxh= 656, maxn= 612 r= 459.601 Mflop/s, g= 1.5, l= 1031.4
p= 2, maxh= 656, maxn= 712 r= 468.627 Mflop/s, g= 1.9, l= 358.2
p= 2, maxh= 656, maxn= 812 r= 451.627 Mflop/s, g= 1.9, l= 337.5
p= 2, maxh= 656, maxn= 912 r= 460.093 Mflop/s, g= 0.7, l= 1350.0
p= 2, maxh= 656, maxn= 1012 r= 214.670 Mflop/s, g= 1.0, l= 164.3
p= 2, maxh= 656, maxn= 1112 r= 338.722 Mflop/s, g= 3.2, l= 677.4
p= 2, maxh= 656, maxn= 1212 r= 456.123 Mflop/s, g= -6.0, l= 3710.9
p= 2, maxh= 656, maxn= 1312 r= 459.970 Mflop/s, g= -0.3, l= 1597.4
p= 2, maxh= 656, maxn= 1412 r= 500.786 Mflop/s, g= 1.9, l= 1344.8
p= 2, maxh= 756, maxn= 512 r= 453.580 Mflop/s, g= 0.8, l= 1158.0
p= 2, maxh= 756, maxn= 612 r= 354.736 Mflop/s, g= 3.1, l= 585.8
p= 2, maxh= 756, maxn= 712 r= 466.089 Mflop/s, g= 1.9, l= 411.9
p= 2, maxh= 756, maxn= 812 r= 209.284 Mflop/s, g= 0.9, l= 174.9
p= 2, maxh= 756, maxn= 912 r= 209.735 Mflop/s, g= 0.9, l= 223.8
p= 2, maxh= 756, maxn= 1012 r= 264.062 Mflop/s, g= 0.6, l= 265.0
p= 2, maxh= 756, maxn= 1112 r= 254.178 Mflop/s, g= 0.7, l= 219.3
p= 2, maxh= 756, maxn= 1212 r= 380.708 Mflop/s, g= 2.0, l= 749.4
p= 2, maxh= 756, maxn= 1312 r= 500.774 Mflop/s, g= 1.1, l= 436.0
p= 2, maxh= 756, maxn= 1412 r= 509.789 Mflop/s, g= 1.1, l= 441.7
p= 4, maxh= 256, maxn= 512 r= 251.491 Mflop/s, g= -0.4, l= 1748.1
p= 4, maxh= 256, maxn= 612 r= 343.283 Mflop/s, g= 1.7, l= 3098.4
p= 4, maxh= 256, maxn= 712 r= 480.844 Mflop/s, g= 1.3, l= 1883.9
p= 4, maxh= 256, maxn= 812 r= 452.726 Mflop/s, g= 1.4, l= 1860.6
p= 4, maxh= 256, maxn= 912 r= 248.464 Mflop/s, g= -0.7, l= 1816.7
p= 4, maxh= 256, maxn= 1012 r= 278.933 Mflop/s, g= 0.9, l= 1189.6
p= 4, maxh= 256, maxn= 1112 r= 337.558 Mflop/s, g= 1.3, l= 1435.2
p= 4, maxh= 256, maxn= 1212 r= 330.218 Mflop/s, g= 4.0, l= 3088.3
p= 4, maxh= 256, maxn= 1312 r= 479.550 Mflop/s, g= 1.1, l= 1898.7
p= 4, maxh= 256, maxn= 1412 r= 158.363 Mflop/s, g= 0.7, l= 658.4
p= 4, maxh= 356, maxn= 512 r= 498.265 Mflop/s, g= 12.4, l= 858.6
p= 4, maxh= 356, maxn= 612 r= 248.093 Mflop/s, g= 0.9, l= 1657.3
p= 4, maxh= 356, maxn= 712 r= 472.832 Mflop/s, g= 1.8, l= 1782.5
p= 4, maxh= 356, maxn= 812 r= 214.466 Mflop/s, g= 0.7, l= 897.2
p= 4, maxh= 356, maxn= 912 r= 253.555 Mflop/s, g= 0.0, l= 1715.6
p= 4, maxh= 356, maxn= 1012 r= 215.011 Mflop/s, g= 0.5, l= 1007.2
p= 4, maxh= 356, maxn= 1112 r= 294.820 Mflop/s, g= 0.9, l= 1075.3
